registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),make,model
2017.0,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,21.4,1197.0,83.1,,5.45,Maruti,Baleno
2018.0,Third Party insurance,Diesel,7.0,70000.0,First Owner,Automatic,,17.6,2179.0,153.86,,10.0,Tata,Hexa
2015.0,Third Party insurance,Petrol,5.0,70000.0,Second Owner,Manual,,20.85,1197.0,83.14,,4.5,Maruti,Swift
2009.0,Third Party insurance,Petrol,5.0,80000.0,First Owner,Manual,,19.81,1086.0,68.05,,1.6,Hyundai,i10
2015.0,Third Party insurance,Petrol,5.0,70000.0,First Owner,Manual,,17.19,1197.0,81.86,,4.7,Hyundai,i20
2017.0,Third Party insurance,Diesel,5.0,120000.0,First Owner,Manual,,27.28,1047.0,69.0,,3.6,Tata,Tiago
2010.0,Third Party insurance,Petrol,5.0,60000.0,Second Owner,Manual,,19.81,1086.0,68.05,,2.0,Hyundai,i10
2016.0,Third Party insurance,Petrol,7.0,20000.0,First Owner,Manual,,15.37,1196.0,73.0,,3.7,Maruti,Eeco
2009.0,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,,1086.0,62.0,,1.2,Hyundai,Santro
2014.0,Third Party insurance,Petrol,5.0,70000.0,First Owner,Manual,,18.0,1198.0,86.7,,3.3,Honda,Amaze
2018.0,Third Party insurance,Petrol,5.0,60000.0,Second Owner,Manual,,20.14,1197.0,81.86,,4.75,Hyundai,Xcent
2020.0,Third Party insurance,Petrol,5.0,50000.0,Third Owner,Manual,,21.56,1462.0,103.25,,6.86,Maruti,Ciaz
2021.0,Third Party insurance,Diesel,5.0,60000.0,First Owner,Manual,,23.7,1493.0,98.6,,12.5,Hyundai,Venue
2021.0,Third Party insurance,Diesel,5.0,60000.0,First Owner,Manual,,23.7,1396.0,89.0,,11.0,Hyundai,Venue
2019.0,Third Party insurance,Petrol,5.0,20000.0,First Owner,Automatic,,23.95,998.0,67.1,,3.95,Maruti,Alto
2016.0,Third Party insurance,CNG,5.0,40000.0,First Owner,Manual,,26.6,998.0,58.16,,3.5,Maruti,Wagon
2011.0,Third Party insurance,Petrol,5.0,50000.0,Second Owner,Manual,,17.6,1496.0,88.7,,2.89,Toyota,Etios
2011.0,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,21.43,1364.0,87.2,,2.82,Toyota,Corolla
2021.0,Third Party insurance,Petrol,5.0,10000.0,First Owner,Manual,,18.2,998.0,118.36,,10.0,Kia,Sonet
2020.0,Third Party insurance,Petrol,5.0,30000.0,Second Owner,Manual,,20.65,1462.0,103.25,,7.85,Maruti,Ciaz
