car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
2017 Maruti Baleno 1.2 Alpha,2017,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,21.4,1197.0,83.1,,5.45
2018 Tata Hexa XTA,2018,Third Party insurance,Diesel,7.0,70000.0,First Owner,Automatic,,17.6,2179.0,153.86,,10.0
2015 Maruti Swift Dzire VXI,2015,Third Party insurance,Petrol,5.0,70000.0,Second Owner,Manual,,20.85,1197.0,83.14,,4.5
2015 Maruti Swift Dzire VXI,2015,Third Party insurance,Petrol,5.0,70000.0,Second Owner,Manual,,20.85,1197.0,83.14,,4.5
2009 Hyundai i10 Magna 1.1,2009,Third Party insurance,Petrol,5.0,80000.0,First Owner,Manual,,19.81,1086.0,68.05,,1.6
2015 Hyundai i20 Active 1.2,2015,Third Party insurance,Petrol,5.0,70000.0,First Owner,Manual,,17.19,1197.0,81.86,,4.7
2017 Tata Tiago 1.05 Revotorq XZ,2017,Third Party insurance,Diesel,5.0,120000.0,First Owner,Manual,,27.28,1047.0,69.0,,3.6
2010 Hyundai i10 Magna 1.1,2010,Third Party insurance,Petrol,5.0,60000.0,Second Owner,Manual,,19.81,1086.0,68.05,,2.0
2016 Maruti Eeco 7 Seater Standard BSIV,2016,Third Party insurance,Petrol,7.0,20000.0,First Owner,Manual,,15.37,1196.0,73.0,,3.7
2009 Hyundai Santro Xing GL,2009,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,,1086.0,62.0,,1.2
2014 Honda Amaze E i-Vtech,2014,Third Party insurance,Petrol,5.0,70000.0,First Owner,Manual,,18.0,1198.0,86.7,,3.3
2018 Hyundai Xcent 1.2 VTVT SX,2018,Third Party insurance,Petrol,5.0,60000.0,Second Owner,Manual,,20.14,1197.0,81.86,,4.75
